Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A815721,N,2020-03-23 23:57:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-24 09:17:00,Unknown,1.0,1.0,0,Y,N
A815716,N,2020-03-23 21:35:00,Austin (TX),Stray,Injured,Cat,Intact Male,3.0,Domestic Longhair,Other,2020-03-24 09:21:00,Intact Male,3.0,1.0,0,N,N
A815715,N,2020-03-23 19:13:00,Austin (TX),Stray,Nursing,Cat,Intact Male,0.038461538461538464,Domestic Shorthair,Other,2020-03-24 11:22:00,Intact Male,0.038461538461538464,0.0,0,N,Y
A815714,N,2020-03-23 19:13:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.038461538461538464,Domestic Shorthair,Other,2020-03-24 11:22:00,Intact Female,0.038461538461538464,0.0,0,N,Y
A815708,N,2020-03-23 16:35:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.75,Other,Brown,2020-03-27 15:05:00,Intact Female,0.75,0.0,3,N,Y
A815688,Y,2020-03-23 12:21:00,Austin (TX),Stray,Normal,Dog,Spayed Female,4.0,Other,Black/Brown,2020-03-24 14:55:00,Spayed Female,4.0,0.0,1,N,N
A815686,Y,2020-03-23 12:21:00,Austin (TX),Stray,Normal,Dog,Neutered Male,5.0,Other,Black/Brown,2020-03-24 14:53:00,Neutered Male,5.0,0.0,1,N,N
A815679,N,2020-03-23 10:05:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.00821917808219178,Domestic Shorthair,Other,2020-03-23 18:56:00,Intact Female,0.00821917808219178,0.0,0,N,Y
A815676,N,2020-03-23 08:26:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-23 10:11:00,Unknown,2.0,1.0,0,Y,N
A815673,N,2020-03-22 18:30:00,Travis (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-23 10:15:00,Unknown,1.0,1.0,0,Y,N
A815662,Y,2020-03-22 14:48:00,Austin (TX),Stray,Normal,Dog,Intact Female,2.0,Other,Black/Brown,2020-03-24 14:55:00,Intact Female,2.0,0.0,2,N,N
A815658,N,2020-03-22 13:27:00,Travis (TX),Wildlife,Normal,Bat,Intact Male,2.0,Other,Black,2020-03-22 16:15:00,Intact Male,2.0,1.0,0,Y,N
A815650,N,2020-03-22 10:42:00,Austin (TX),Stray,Nursing,Cat,Intact Female,0.0136986301369863,Domestic Shorthair,Black/White,2020-03-22 10:44:00,Intact Female,0.0136986301369863,0.0,0,N,Y
A815640,N,2020-03-21 17:09:00,Austin (TX),Wildlife,Sick,Skunk,Unknown,2.0,Other,Black/White,2020-03-22 07:48:00,Unknown,2.0,1.0,0,Y,N
A815629,Y,2020-03-21 12:40:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,0.5833333333333334,Labrador Retriever,Black,2020-03-22 17:35:00,Neutered Male,0.5833333333333334,0.0,1,N,Y
A815621,N,2020-03-21 09:07:00,Austin (TX),Stray,Injured,Cat,Intact Female,2.0,Domestic Shorthair,Black/White,2020-03-21 13:53:00,Intact Female,2.0,1.0,0,N,N
A815619,N,2020-03-20 20:17:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-22 07:47:00,Unknown,2.0,1.0,1,Y,N
A815618,N,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Female,0.9166666666666666,Other,Red/White,2020-03-24 09:55:00,Intact Female,1.0,0.0,3,N,Y
A815616,N,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Male,0.3333333333333333,Other,Red/White,2020-03-24 09:56:00,Intact Male,0.3333333333333333,0.0,3,N,Y
A815615,N,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Female,0.16666666666666666,Other,Red/White,2020-03-24 09:56:00,Intact Female,0.25,0.0,3,N,Y
A815614,N,2020-03-20 17:33:00,Austin (TX),Abandoned,Normal,Dog,Intact Female,0.16666666666666666,Other,Other,2020-03-24 09:55:00,Intact Female,0.25,0.0,3,N,Y
A815611,Y,2020-03-20 17:17:00,Austin (TX),Stray,Injured,Dog,Spayed Female,2.0,Dachshund,Other,2020-03-23 18:49:00,Spayed Female,2.0,0.0,3,N,N
A815586,N,2020-03-20 12:02:00,Austin (TX),Stray,Sick,Dog,Intact Female,0.16666666666666666,Chihuahua Shorthair,Black/Brown,2020-03-23 17:25:00,Intact Female,0.16666666666666666,0.0,3,N,Y
A815575,N,2020-03-19 16:18:00,Austin (TX),Wildlife,Normal,Bat,Unknown,2.0,Other,Brown,2020-03-19 17:54:00,Unknown,2.0,1.0,0,Y,N
A815572,N,2020-03-12 13:17:00,Austin (TX),Public Assist,Nursing,Dog,Unknown,0.0,Labrador Retriever,Blue/White,2020-03-24 15:04:00,Unknown,0.019230769230769232,0.0,12,N,Y
A815571,N,2020-03-12 13:17:00,Austin (TX),Public Assist,Nursing,Dog,Unknown,0.0,Labrador Retriever,Blue/White,2020-03-24 15:03:00,Unknown,0.019230769230769232,0.0,12,N,Y
A815568,N,2020-03-19 13:24:00,Austin (TX),Wildlife,Sick,Bat,Unknown,2.0,Other,Brown,2020-03-23 09:06:00,Unknown,2.0,1.0,3,Y,N
A815565,Y,2020-03-19 08:42:00,Travis (TX),Stray,Injured,Dog,Spayed Female,14.0,Other,Black/Brown,2020-03-19 14:21:00,Spayed Female,14.0,0.0,0,N,N
A815562,N,2020-03-19 01:24:00,Austin (TX),Wildlife,Normal,Bat,Unknown,1.0,Other,Brown,2020-03-19 09:27:00,Unknown,1.0,1.0,0,Y,N
A815561,N,2020-03-18 20:56:00,Travis (TX),Wildlife,Injured,Bat,Unknown,1.0,Other,Brown,2020-03-19 09:27:00,Unknown,1.0,1.0,0,Y,N
A815558,N,2020-03-18 20:43:00,Austin (TX),Wildlife,Injured,Bat,Unknown,1.0,Other,Brown,2020-03-23 09:07:00,Unknown,1.0,1.0,4,Y,N
A815553,N,2020-03-18 17:38:00,Austin (TX),Wildlife,Sick,Bat,Unknown,2.0,Other,Brown,2020-03-18 18:30:00,Unknown,2.0,1.0,0,Y,N
A815548,N,2020-03-18 16:38:00,Austin (TX),Stray,Injured,Dog,Intact Male,1.0,Other,Tricolor,2020-03-22 13:46:00,Intact Male,1.0,1.0,3,N,N
A815547,N,2020-03-18 16:35:00,Austin (TX),Wildlife,Sick,Bat,Unknown,2.0,Other,Brown,2020-03-18 17:09:00,Unknown,2.0,1.0,0,Y,N
