Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A675619,Y,2014-03-30 11:49:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Chihuahua Shorthair Mix,White/Chocolate,2014-04-05 17:48:00,Neutered Male,2.0,0.0,6,N,N
A693177,Y,2014-12-03 12:50:00,Austin (TX),Stray,Normal,Dog,Intact Female,7.0,Chihuahua Shorthair Mix,Black/Tan,2014-12-07 18:02:00,Spayed Female,7.0,0.0,4,N,N
A556804,Y,2013-11-16 16:38:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,11.0,Domestic Shorthair,Black/White,2013-11-30 12:19:00,Spayed Female,11.0,0.0,13,N,N
A808539,Y,2019-11-10 13:38:00,Austin (TX),Stray,Normal,Dog,Neutered Male,4.0,Labrador Retriever Mix,White/Chocolate,2019-11-15 13:05:00,Neutered Male,4.0,0.0,4,N,N
A792843,N,2019-04-16 11:31:00,Austin (TX),Wildlife,Injured,Opossum,Intact Male,1.0,Other,Other,2019-04-16 15:04:00,Intact Male,1.0,1.0,0,Y,N
A732385,Y,2016-08-06 17:16:00,Austin (TX),Owner Surrender,Sick,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,Other,2016-08-16 17:34:00,Intact Female,0.16666666666666666,0.0,10,N,Y
A748377,Y,2017-05-02 13:50:00,Austin (TX),Stray,Normal,Dog,Intact Male,3.0,Pit Bull Mix,White/Tan,2017-08-19 19:02:00,Neutered Male,3.0,0.0,109,N,N
A689447,Y,2014-10-04 11:29:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.0576923076923077,Domestic Shorthair,Black/White,2014-12-14 10:53:00,Intact Female,0.25,1.0,70,N,Y
A795462,N,2019-05-20 18:21:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0.038461538461538464,Other,Other,2019-05-31 18:30:00,Intact Male,0.07692307692307693,0.0,11,N,Y
A727450,Y,2016-05-22 13:04:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,Black,2016-07-09 17:44:00,Spayed Female,0.16666666666666666,0.0,48,N,Y
A756688,Y,2018-10-14 10:38:00,Austin (TX),Stray,Normal,Dog,Intact Female,2.0,Pit Bull Mix,Brown Brindle/White,2018-10-24 11:37:00,Intact Female,2.0,0.0,10,N,N
A669201,Y,2015-09-16 17:41:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2.0,Chihuahua Shorthair Mix,Black/Brown,2015-10-06 17:53:00,Neutered Male,2.0,0.0,20,N,N
A668481,N,2013-12-04 12:29:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.0576923076923077,Domestic Shorthair,Torbie,2013-12-04 14:39:00,Intact Female,0.0576923076923077,0.0,0,N,Y
A725708,Y,2016-05-02 10:58:00,Austin (TX),Stray,Normal,Dog,Neutered Male,0.16666666666666666,Labrador Retriever Mix,White,2016-05-21 00:00:00,Neutered Male,0.25,0.0,18,N,Y
A762366,Y,2017-11-19 11:47:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9.0,Domestic Shorthair,Torbie,2018-01-30 09:13:00,Spayed Female,9.0,0.0,71,N,N
A800035,Y,2019-07-15 15:16:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6.0,Other,Black/White,2019-07-31 12:52:00,Neutered Male,6.0,0.0,15,N,N
A713163,Y,2015-10-03 12:45:00,Austin (TX),Stray,Normal,Cat,Intact Male,4.0,Domestic Shorthair,Blue Tabby,2015-11-11 00:00:00,Neutered Male,4.0,0.0,38,N,N
A755224,N,2017-07-31 13:02:00,Austin (TX),Stray,Injured,Dog,Intact Male,8.0,Miniature Poodle Mix,White,2017-08-01 16:46:00,Intact Male,8.0,0.0,1,N,N
A696336,N,2015-02-03 10:19:00,Austin (TX),Stray,Normal,Dog,Unknown,0.019230769230769232,Chihuahua Shorthair Mix,Black/White,2015-02-06 16:55:00,Unknown,0.019230769230769232,0.0,3,N,Y
A799281,Y,2019-07-06 17:43:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Other,Other,2019-07-28 22:51:00,Neutered Male,2.0,0.0,22,N,N
A740384,Y,2016-12-16 13:35:00,Travis (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Australian Cattle Dog Mix,Black/White,2017-01-06 17:09:00,Spayed Female,0.08333333333333333,0.0,21,N,Y
A784080,N,2018-11-11 11:58:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,Brown Tabby,2019-02-20 15:58:00,Spayed Female,0.3333333333333333,0.0,101,N,Y
A708359,Y,2015-07-30 15:56:00,Outside Jurisdiction,Stray,Normal,Dog,Spayed Female,0.5,Other,Black/Brown,2016-12-15 18:36:00,Spayed Female,1.0,0.0,130,N,Y
A786510,N,2018-12-26 16:47:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Medium Hair,Calico,2018-12-31 16:26:00,Spayed Female,0.16666666666666666,0.0,4,N,Y
A764965,N,2018-01-10 11:00:00,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Yorkshire Terrier Mix,Black/White,2018-01-15 12:59:00,Spayed Female,1.0,0.0,5,N,N
A779155,Y,2018-08-26 13:50:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8.0,Domestic Shorthair,Brown Tabby,2018-09-01 11:59:00,Spayed Female,8.0,0.0,5,N,N
A743905,Y,2017-02-19 10:12:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,8.0,Other,Black,2017-02-20 11:23:00,Neutered Male,8.0,0.0,1,N,N
A750526,N,2017-05-28 12:56:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.0576923076923077,Domestic Shorthair,Torbie,2017-07-14 13:35:00,Spayed Female,0.16666666666666666,0.0,47,N,Y
A713264,Y,2015-10-05 10:08:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.5833333333333334,Other,Black/Brown,2015-10-06 15:30:00,Intact Male,0.5833333333333334,0.0,1,N,Y
A782680,Y,2018-10-19 14:56:00,Pflugerville (TX),Stray,Normal,Dog,Spayed Female,5.0,Pit Bull Mix,Brown Brindle/White,2018-10-20 11:48:00,Spayed Female,5.0,0.0,0,N,N
A757991,Y,2017-09-09 16:54:00,Austin (TX),Stray,Sick,Dog,Intact Male,8.0,Australian Cattle Dog Mix,Brown Brindle/White,2017-12-07 14:08:00,Neutered Male,8.0,0.0,88,N,N
A794057,N,2019-05-03 14:19:00,Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair,Torbie,2019-05-11 17:27:00,Spayed Female,1.0,0.0,8,N,N
A758028,Y,2017-09-10 13:14:00,Austin (TX),Stray,Normal,Dog,Intact Male,4.0,Labrador Retriever Mix,White/Tan,2017-09-11 11:32:00,Intact Male,4.0,0.0,0,N,N
A690611,N,2014-10-23 11:16:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Other,Other,2014-10-25 12:46:00,Intact Male,0.16666666666666666,0.0,2,N,Y
A727493,Y,2016-05-22 16:03:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.07692307692307693,Domestic Longhair,Black,2016-06-30 12:29:00,Spayed Female,0.16666666666666666,0.0,38,N,Y
A692279,N,2014-11-17 23:15:00,Austin (TX),Wildlife,Normal,Bat,Unknown,0.5,Other,Brown,2014-11-18 08:01:00,Unknown,0.5,1.0,0,Y,Y
A763935,N,2017-12-18 16:19:00,Austin (TX),Stray,Normal,Cat,Intact Female,0.3333333333333333,Domestic Shorthair,Other,2017-12-24 11:22:00,Intact Female,0.3333333333333333,0.0,5,N,Y
A715498,Y,2015-11-05 11:50:00,Manor (TX),Stray,Normal,Dog,Intact Female,2.0,Pit Bull Mix,Brown/White,2016-01-13 09:03:00,Spayed Female,2.0,0.0,68,N,N
A711913,Y,2015-09-20 11:48:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,0.16666666666666666,German Shepherd Mix,Black/Tan,2015-09-23 13:17:00,Spayed Female,0.16666666666666666,0.0,3,N,Y
A704743,N,2015-06-08 15:31:00,Austin (TX),Stray,Sick,Cat,Unknown,0.07692307692307693,Domestic Shorthair,Other,2015-06-08 15:40:00,Unknown,0.07692307692307693,1.0,0,N,Y
A666555,Y,2013-11-03 14:47:00,Austin (TX),Stray,Injured,Dog,Intact Male,2.0,Chihuahua Shorthair Mix,Black/White,2013-12-14 17:41:00,Neutered Male,2.0,0.0,41,N,N
